,code,landmark,category,name,vLat,vLong
0,BK09,Pier 4 Beach,Beach,Brooklyn Heights-Cobble Hill,40.696595394129254,-73.99908363819122
1,BK09,Brooklyn War Memorial,Monument / Landmark,Brooklyn Heights-Cobble Hill,40.69865700433354,-73.99077645034042
2,BK09,Brooklyn Historical Society,History Museum,Brooklyn Heights-Cobble Hill,40.69494199303208,-73.9923327785124
3,BK09,The Heights Players Theatre,Indie Theater,Brooklyn Heights-Cobble Hill,40.693004781613084,-73.99829256821472
4,BK09,Truman Capote House,Historic Site,Brooklyn Heights-Cobble Hill,40.698906,-73.99495
5,BK09,Studio 24,Art Gallery,Brooklyn Heights-Cobble Hill,40.69639,-73.992279
6,BK09,Asia Art Archive in America,Art Gallery,Brooklyn Heights-Cobble Hill,40.694793,-73.996798
7,BK09,Hotel Bossert,Historic Site,Brooklyn Heights-Cobble Hill,40.69480803305403,-73.99510928115475
8,BK09,Fort Brooklyn,Monument / Landmark,Brooklyn Heights-Cobble Hill,40.695297,-73.994175
9,BK09,Brooklyn Information and Culture,Art Gallery,Brooklyn Heights-Cobble Hill,40.695284,-73.991738
10,BK09,Eyebeam,Art Gallery,Brooklyn Heights-Cobble Hill,40.69418,-73.99329
11,BK09,Temple Bar Building,Monument / Landmark,Brooklyn Heights-Cobble Hill,40.692638,-73.991173
12,BK09,Red Carpapocalypse,Performing Arts Venue,Brooklyn Heights-Cobble Hill,40.69876120977238,-73.99284818695624
13,BK09,Norman Mailer's Writing Studio,Historic Site,Brooklyn Heights-Cobble Hill,40.695478448064996,-73.99777205839798
14,BK09,Kaufman Auditorium,Theater,Brooklyn Heights-Cobble Hill,40.69277,-73.997648
15,BK09,Granite Terrace,Public Art,Brooklyn Heights-Cobble Hill,40.695896,-73.998752
16,BK09,75 hicks st brooklyn,Historic Site,Brooklyn Heights-Cobble Hill,40.69969,-73.993199
17,BK09,Kongsuadiputra's Gallery,Art Gallery,Brooklyn Heights-Cobble Hill,40.69283360220467,-73.99257846074144
18,BK09,brooklynwalks.com,Historic Site,Brooklyn Heights-Cobble Hill,40.69290638027384,-73.99053812026978
19,BK09,13 Designs,Art Gallery,Brooklyn Heights-Cobble Hill,40.697005,-73.994029
20,BK09,Hotel Margaret Site,Historic Site,Brooklyn Heights-Cobble Hill,40.699672732873154,-73.99570037498744
21,BK09,Charles Saaf Photography,Art Gallery,Brooklyn Heights-Cobble Hill,40.69822,-73.995941
22,BK09,Heights Chabad,Art Gallery,Brooklyn Heights-Cobble Hill,40.694508909731866,-73.99617075920105
23,BK09,S.E.M Ensemble,Indie Theater,Brooklyn Heights-Cobble Hill,40.692834361088316,-73.99825410894341
24,BK09,En Foco,Art Gallery,Brooklyn Heights-Cobble Hill,40.695381,-73.991815
25,BK09,Collective Consciousness NYC,Art Gallery,Brooklyn Heights-Cobble Hill,40.69234,-73.991016
26,BK09,Henry Gregg Gallery,Art Gallery,Brooklyn Heights-Cobble Hill,40.693217,-73.989858
27,BK09,Batcave On Oaa,Monument / Landmark,Brooklyn Heights-Cobble Hill,40.692017320000005,-73.99157605
28,BK09,Brooklyn Heights Association Landmark House & Garden Tour,Historic Site,Brooklyn Heights-Cobble Hill,40.696636,-73.996968
