,code,venue,category,name,vLat,vLong
0,BK09,Dellarocco's,Pizza Place,Brooklyn Heights-Cobble Hill,40.69499209990746,-73.99592429396137
1,BK09,Lassen & Hennigs,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69497028956407,-73.99485733614807
2,BK09,Sushi Gallery,Sushi Restaurant,Brooklyn Heights-Cobble Hill,40.69759512293347,-73.99323607647035
3,BK09,Saketumi Asian Bistro,Asian Restaurant,Brooklyn Heights-Cobble Hill,40.694909513391174,-73.99457785175119
4,BK09,Iron Chef House,Japanese Restaurant,Brooklyn Heights-Cobble Hill,40.697405738767394,-73.99256031665585
5,BK09,Lantern Thai Kitchen,Thai Restaurant,Brooklyn Heights-Cobble Hill,40.69516848345413,-73.99562112798172
6,BK09,River Deli,Italian Restaurant,Brooklyn Heights-Cobble Hill,40.693713210456345,-73.99843526257156
7,BK09,Clark's Restaurant,Diner,Brooklyn Heights-Cobble Hill,40.69753293863099,-73.9930435186682
8,BK09,Five Guys,Burger Joint,Brooklyn Heights-Cobble Hill,40.69464577757514,-73.99381926824576
9,BK09,Le Pain Quotidien,Bakery,Brooklyn Heights-Cobble Hill,40.69510069703266,-73.99454265832895
10,BK09,B.GOOD,Fast Food Restaurant,Brooklyn Heights-Cobble Hill,40.69469669607069,-73.99380026153258
11,BK09,Chipotle Mexican Grill,Mexican Restaurant,Brooklyn Heights-Cobble Hill,40.694349307551605,-73.99183062392524
12,BK09,Heights Falafel,Falafel Restaurant,Brooklyn Heights-Cobble Hill,40.69844634300942,-73.99250785148237
13,BK09,Penny Bridge,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69743344473067,-73.99264470885065
14,BK09,Ozu Japanese Cuisine & Lounge,Asian Restaurant,Brooklyn Heights-Cobble Hill,40.697513,-73.993369
15,BK09,Bamboo Bites,Food Truck,Brooklyn Heights-Cobble Hill,40.69504747901711,-73.99939610479981
16,BK09,Pinto,Thai Restaurant,Brooklyn Heights-Cobble Hill,40.694758432958814,-73.994280065657
17,BK09,Fascati Pizza,Pizza Place,Brooklyn Heights-Cobble Hill,40.69835547472359,-73.99252179997475
18,BK09,Gregory's Coffee,Café,Brooklyn Heights-Cobble Hill,40.69356,-73.99067
19,BK09,Curry Heights,Indian Restaurant,Brooklyn Heights-Cobble Hill,40.69357223828141,-73.99226545349896
20,BK09,Brooklyn Heights Deli,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69135540592574,-73.99600854870859
21,BK09,Maison Kayser,Bakery,Brooklyn Heights-Cobble Hill,40.69216629075083,-73.99109172940383
22,BK09,Dos Toros Taquería,Burrito Place,Brooklyn Heights-Cobble Hill,40.691957,-73.991387
23,BK09,Kogane,Ramen Restaurant,Brooklyn Heights-Cobble Hill,40.69852472195026,-73.99245261782887
24,BK09,Nanatori,Sushi Restaurant,Brooklyn Heights-Cobble Hill,40.69452395493607,-73.99267602133101
25,BK09,Montague Street Bagels,Bagel Shop,Brooklyn Heights-Cobble Hill,40.69500736963899,-73.9950757013036
26,BK09,MontyQ's Brick Oven Pizza,Pizza Place,Brooklyn Heights-Cobble Hill,40.69436997583063,-73.99287901277606
27,BK09,Park Plaza Diner,Diner,Brooklyn Heights-Cobble Hill,40.69779079038551,-73.9916819489333
28,BK09,Teresa's Restaurant,Eastern European Restaurant,Brooklyn Heights-Cobble Hill,40.695238876311734,-73.9960558355363
29,BK09,Caffe Buon Gusto,Italian Restaurant,Brooklyn Heights-Cobble Hill,40.69461587788547,-73.99338165894984
30,BK09,Lichee Nut,Chinese Restaurant,Brooklyn Heights-Cobble Hill,40.69437415319338,-73.9927109788208
31,BK09,Heights Cafe,American Restaurant,Brooklyn Heights-Cobble Hill,40.69520082413794,-73.99589275866926
32,BK09,Gallito's Kitchen,Mexican Restaurant,Brooklyn Heights-Cobble Hill,40.6946138064606,-73.99374387205967
33,BK09,honeygrow,Salad Place,Brooklyn Heights-Cobble Hill,40.69259944519508,-73.99140945063183
34,BK09,Antonio's Pizzeria,Pizza Place,Brooklyn Heights-Cobble Hill,40.69289365256406,-73.99058652105266
35,BK09,Ani Sushi,Sushi Restaurant,Brooklyn Heights-Cobble Hill,40.69463435094354,-73.99364238035173
36,BK09,Plymouth Cafe,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69812636312498,-73.99264919906126
37,BK09,Bevacco,Italian Restaurant,Brooklyn Heights-Cobble Hill,40.69934693656375,-73.99213688652104
38,BK09,Heights Deli & Convenience,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69518451444006,-73.99578532096776
39,BK09,Dunkin',Donut Shop,Brooklyn Heights-Cobble Hill,40.6922,-73.991345
40,BK09,Court Order,Sandwich Place,Brooklyn Heights-Cobble Hill,40.692261525419504,-73.99104634150255
41,BK09,Dunkin',Donut Shop,Brooklyn Heights-Cobble Hill,40.69474503529761,-73.99128872889801
42,BK09,Happy Days Diner,Diner,Brooklyn Heights-Cobble Hill,40.69453867483069,-73.99334130401633
43,BK09,Subway Sandwiches,Sandwich Place,Brooklyn Heights-Cobble Hill,40.69211,-73.991502
44,BK09,Fortune House,Chinese Restaurant,Brooklyn Heights-Cobble Hill,40.698411434008214,-73.99254201285272
45,BK09,All In One Mart,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.698083927594745,-73.99270434703357
46,BK09,Aketumi,Asian Restaurant,Brooklyn Heights-Cobble Hill,40.69491439918268,-73.9946731330805
47,BK09,Chip Shop,Steakhouse,Brooklyn Heights-Cobble Hill,40.69498284997109,-73.99594140301738
48,BK09,NYC Sliders,Burger Joint,Brooklyn Heights-Cobble Hill,40.69760810861431,-73.9944863319397
49,BK09,Thai Food on Wheels,Food Truck,Brooklyn Heights-Cobble Hill,40.69384621348598,-73.99254976644094
50,BK09,Tazzini,Café,Brooklyn Heights-Cobble Hill,40.697607,-73.993332
51,BK09,Han's Market,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.697618124661616,-73.99326244961915
52,BK09,Sunny Deli,Deli / Bodega,Brooklyn Heights-Cobble Hill,40.69288544684503,-73.99326525751961
53,BK09,Fresh Cafe Bar,Sandwich Place,Brooklyn Heights-Cobble Hill,40.697831,-73.992714
54,BK09,Blossom Poké Bowl,Poke Place,Brooklyn Heights-Cobble Hill,40.69350697137833,-73.9920987901345
55,BK09,Habibi Middle Eastern Cuisine,Middle Eastern Restaurant,Brooklyn Heights-Cobble Hill,40.698507,-73.992504
56,BK09,Subway Sandwiches,Sandwich Place,Brooklyn Heights-Cobble Hill,40.69407139730732,-73.99021977491533
57,BK09,Great Wall Chinese Food,Chinese Restaurant,Brooklyn Heights-Cobble Hill,40.698983696296274,-73.99218529980111
58,BK09,C&H Halal Foods Cart,Food Truck,Brooklyn Heights-Cobble Hill,40.69369057290146,-73.99032881455878
59,BK09,Happy Fin Poke,Poke Place,Brooklyn Heights-Cobble Hill,40.699056,-73.992204
60,BK09,Amy’s Bread,Bakery,Brooklyn Heights-Cobble Hill,40.697393,-73.993593
61,BK09,Ebb & Flow,Bakery,Brooklyn Heights-Cobble Hill,40.69383373704473,-73.99963617324829
62,BK09,Estuary,Restaurant,Brooklyn Heights-Cobble Hill,40.693764,-73.998892
63,BK17,Roll N Roaster,Sandwich Place,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.584143455001524,-73.93955540497697
